_id/$oid	name	longitude	latitude	airbnbscore	trafficconvinence	surroundingrestaurantscore	safetyscore	overallscore	url	crime
5900522fec490a0264a2c814	Room for 2 in Rozzie - Full Bath	-71.13334868	42.28208581	0.964210526	0.626865672	0.911293526	0.932384342	0.858688516	https://www.airbnb.com/rooms/1810172	19
5900522fec490a0264a2c815	Private room in spacious condo!	-71.11972634	42.28456151	0.938947368	0.417910448	0.881675617	0.903914591	0.785612006	https://www.airbnb.com/rooms/6513924	27
5900522fec490a0264a2c816	Adorable  Apt. 20 min from Downtown	-71.11775586	42.27696862	0.947368421	0.39800995	0.83590988	0.914590747	0.77396975	https://www.airbnb.com/rooms/7093109	24
5900522fec490a0264a2c817	1 Bedroom Home Suite Home	-71.13071327	42.28922069	0	0.547263682	0.908427705	0.943060498	0.599687971	https://www.airbnb.com/rooms/14690527	16
5900522fec490a0264a2c818	Private Room near public transport	-71.11681747	42.28228163	0.913684211	0.402985075	0.844974474	0.928825623	0.772617345	https://www.airbnb.com/rooms/7086825	20
5900522fec490a0264a2c819	Charming Gambrel on a sweet street	-71.12823284	42.27691292	0.974736842	0.452736318	0.902720796	0.93594306	0.816534254	https://www.airbnb.com/rooms/1861070	18
5900522fec490a0264a2c81a	Private 1 bedroom w/ kitchenette	-71.13728641	42.28967076	0.896842105	0.547263682	0.913680594	0.943060498	0.82521172	https://www.airbnb.com/rooms/4283698	16
5900522fec490a0264a2c81b	Comfortable & Clean - Boston	-71.13336749	42.28960322	0	0.55721393	0.909433992	0.957295374	0.605985824	https://www.airbnb.com/rooms/10116095	12
5900522fec490a0264a2c81c	Charming 3 bedroom-15 min to Boston	-71.1327718	42.2791761	0.943157895	0.547263682	0.911433693	0.93594306	0.834449582	https://www.airbnb.com/rooms/8548176	18
5900522fec490a0264a2c81d	Charming new house-15 min to Boston	-71.12904915	42.28214228	0.968421053	0.597014925	0.901932854	0.946619217	0.853497012	https://www.airbnb.com/rooms/4922204	15
5900522fec490a0264a2c81e	"""Room with a View""  from ""Top of the Hill"""	-71.14031784	42.28174852	0.981052632	0.552238806	0.927284441	0.943060498	0.850909094	https://www.airbnb.com/rooms/4085362	16
5900522fec490a0264a2c81f	Lovely & Gracious Victorian room	-71.12480042	42.2756372	0.947368421	0.437810945	0.866355951	0.946619217	0.799538634	https://www.airbnb.com/rooms/3755609	15
5900522fec490a0264a2c820	"Cozy, quiet room in Roslindale"	-71.13448153	42.2875977	0.922105263	0.587064677	0.912302306	0.939501779	0.840243506	https://www.airbnb.com/rooms/13768853	17
5900522fec490a0264a2c821	Private Room in Rozzie	-71.13614632	42.28997231	0.987368421	0.547263682	0.913680594	0.943060498	0.847843299	https://www.airbnb.com/rooms/1936861	16
5900522fec490a0264a2c822	Queen room in a charming villa	-71.13671456	42.27896822	0.926315789	0.482587065	0.919280321	0.943060498	0.817810918	https://www.airbnb.com/rooms/4461111	16
5900522fec490a0264a2c823	Charming sunlit house in Boston	-71.13267674	42.28290546	0.949473684	0.626865672	0.911293526	0.93594306	0.855893986	https://www.airbnb.com/rooms/1724900	18
5900522fec490a0264a2c824	Guest Room in Cozy Home	-71.13643293	42.27636368	0.911578947	0.44278607	0.924495917	0.943060498	0.805480358	https://www.airbnb.com/rooms/13937181	16
5900522fec490a0264a2c825	Sunny bedroom in large quiet house	-71.13133846	42.29110718	0.981052632	0.512437811	0.908113504	0.946619217	0.837055791	https://www.airbnb.com/rooms/3968797	15
5900522fec490a0264a2c826	Cozy in Rozzie!	-71.13013943	42.27571563	0.892631579	0.44278607	0.908868176	0.932384342	0.794167542	https://www.airbnb.com/rooms/1494726	19
5900522fec490a0264a2c827	Private Room in Single Family Home	-71.13062801	42.27493019	0.993684211	0.422885572	0.924495917	0.939501779	0.82014187	https://www.airbnb.com/rooms/8473851	17
5900522fec490a0264a2c828	The Artist room in beautiful villa.	-71.13586963	42.28027891	0.917894737	0.562189055	0.916991123	0.93594306	0.833254494	https://www.airbnb.com/rooms/3575220	18
5900522fec490a0264a2c829	PrivRoom+Bath In Roslindale/Boston	-71.1239987	42.28556003	0.949473684	0.537313433	0.888732587	0.925266904	0.825196652	https://www.airbnb.com/rooms/1591827	21
